X	Y	Type	Color
-0.0274088	0.18743	green	#008000
0.0350319	0.00912597	red	#FF0000
-0.508809	-0.409245	blue	#3399FF
-0.333467	-0.571575	red	#FF0000
-0.0642712	0.0575069	red	#FF0000
-0.00953625	-0.0123101	green	#008000
-0.257019	-0.00677816	red	#FF0000
0.354212	-0.40843	red	#FF0000
0.178296	0.0651507	green	#008000
0.421147	-0.33867	green	#008000
-0.837346	-0.535792	red	#FF0000
-14.6527	-1.90293	red	#FF0000
2.30338	7.83712	red	#FF0000
-0.498462	-0.39841	green	#008000
-4.52981	5.96227	green	#008000
0.16795	0.134741	red	#FF0000
-0.0114284	0.0335057	red	#FF0000
-0.0303465	0.0375117	green	#008000
-0.406794	0.528041	red	#FF0000
0.0889522	-0.0690931	green	#008000
-0.00446404	-0.00975935	red	#FF0000
0.141382	-0.127654	green	#008000
0.0193754	-0.0631393	red	#FF0000
-0.278669	1.19554	green	#008000
-0.103965	-0.0825109	red	#FF0000
0.204867	-0.723644	green	#008000
-0.135618	-0.208431	red	#FF0000
0.123551	-0.0722325	red	#FF0000
0.0232501	-0.0420168	red	#FF0000
0.188042	0.256015	red	#FF0000
-0.134328	0.186494	red	#FF0000
-0.0759538	0.112952	red	#FF0000
0.0188523	-0.0236029	red	#FF0000
0.840595	-0.0556908	green	#008000
-0.0327545	0.0286578	green	#008000
-0.248439	-0.894877	red	#FF0000
-0.0345017	-0.0365968	red	#FF0000
-6.60253	3.12985	red	#FF0000
0.231404	0.030165	blue	#3399FF
0.94785	1.29672	red	#FF0000
8.43239	-10.578	green	#008000
-0.311065	0.223261	red	#FF0000
-0.328511	0.66455	red	#FF0000
-0.0683398	0.0494878	green	#008000
-0.0339514	-0.119794	red	#FF0000
-0.632907	-0.750909	red	#FF0000
-0.114365	-0.18204	red	#FF0000
-0.387871	0.829813	red	#FF0000
0.227	0.108167	red	#FF0000
0.144255	0.00484255	red	#FF0000
0.302612	0.123654	red	#FF0000
1.89239	-12.9843	red	#FF0000
0.00140955	0.00175437	green	#008000
-0.120395	-13.8751	green	#008000
-0.104149	0.0557607	red	#FF0000
-0.00525186	-0.00947595	red	#FF0000
-0.0322881	0.000975434	red	#FF0000
0.0460605	-0.230227	red	#FF0000
13.5296	2.1371	green	#008000
-0.571973	-0.0333249	red	#FF0000
-0.0734998	0.0460627	green	#008000
-0.861832	-0.498884	red	#FF0000
-0.0390204	0.0546146	red	#FF0000
-0.0244731	0.105635	red	#FF0000
-0.55164	-0.819335	green	#008000
0.355368	-0.822549	green	#008000
-3.25219	-3.07102	red	#FF0000
0.00825459	0.00498876	green	#008000
